Año,Trimestre,Provincia,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otras Tecnologias,Total,Accesos por cada 100 hogares,Periodo,Accesos Totales,Accesos Totales en el Periodo Anterior,Nuevos Accesos,Nuevos Acesos Cada 100 Hogares (NACH),Accesos por cada 100 hogares (nacional),Coeficiente de Desigualdad de Penetración por Hogar,Porcentaje Fibra Óptica
2014,1,Buenos Aires,"3,73",1567685,1000879,120960,16528,33824,2739876.0,"54,57",2014 - Q1,2739876,0,0,"0,00","36,19","0,30","4,41%"
2014,2,Buenos Aires,"3,85",1568881,1025490,120008,17020,33147,2764546.0,"55,06",2014 - Q2,2764546,2739876,24670,"0,90","36,64","0,30","4,34%"
2014,3,Buenos Aires,"3,97",1562533,1110628,124474,20049,31881,2849565.0,"56,75",2014 - Q3,2849565,2764546,85019,"3,08","37,34","0,30","4,37%"
2014,4,Buenos Aires,"4,20",1575978,1070135,120528,17728,32038,2816407.0,"56,09",2014 - Q4,2816407,2849565,-33158,"-1,16","37,39","0,29","4,28%"
2015,1,Buenos Aires,"4,32",1583135,1096836,134177,18754,28940,2861842.0,"56,37",2015 - Q1,2861842,2816407,45435,"1,61","38,51","0,29","4,69%"
2015,2,Buenos Aires,"4,46",1581770,1141052,115660,19268,26040,2883790.0,"56,80",2015 - Q2,2883790,2861842,21948,"0,77","38,97","0,29","4,01%"
2015,3,Buenos Aires,"4,70",1585467,1183894,113590,19989,25825,2928765.0,"57,69",2015 - Q3,2928765,2883790,44975,"1,56","39,64","0,29","3,88%"
2015,4,Buenos Aires,"4,88",1586343,1223603,103269,20397,25773,2959385.0,"58,29",2015 - Q4,2959385,2928765,30620,"1,05","39,67","0,29","3,49%"
2016,1,Buenos Aires,"4,99",1583560,1200859,111231,21108,25757,2942515.0,"57,34",2016 - Q1,2942515,2959385,-16870,"-0,57","38,92","0,29","3,78%"
2016,2,Buenos Aires,"5,42",1579448,1305949,113070,21163,25661,3045291.0,"59,34",2016 - Q2,3045291,2942515,102776,"3,49","39,89","0,29","3,71%"
2016,3,Buenos Aires,"5,91",1574216,1355770,113463,18867,24276,3086592.0,"60,14",2016 - Q3,3086592,3045291,41301,"1,36","40,31","0,29","3,68%"
2016,4,Buenos Aires,"6,35",1563542,1414676,118747,21394,24342,3142701.0,"61,24",2016 - Q4,3142701,3086592,56109,"1,82","40,43","0,30","3,78%"
2017,1,Buenos Aires,"6,68",1559178,1465817,118839,21200,24342,3189376.0,"58,57",2017 - Q1,3189376,3142701,46675,"1,49","39,56","0,29","3,73%"
2017,2,Buenos Aires,"7,20",1378549,1535037,119132,21555,24358,3078631.0,"56,27",2017 - Q2,3078631,3189376,-110745,"-3,47","40,29","0,30","3,87%"
2017,3,Buenos Aires,"8,43",1288025,1571180,124920,35058,38777,3057960.0,"55,63",2017 - Q3,3057960,3078631,-20671,"-0,67","45,37","0,24","4,09%"
